#domain,port,ioc,ip
noctavigathome.netcraze.pro,9443,Possible NanoKVM Domain (Unverified),94.19.127.137
nocturnalnick.com,51337,Possible NanoKVM Domain (Unverified),125.238.204.185
ns5010499.ip-51-161-198.net,443,Possible GLKVM Domain (Unverified),51.161.198.71
numerosiren.com,62346,Possible NanoKVM Domain (Unverified),82.65.98.164
numerosiren.com,62347,Possible NanoKVM Domain (Unverified),82.65.98.164
obsidian.arbrit.duckdns.org,20000,Possible PiKVM Domain (Unverified),70.112.90.12
ocaldk.direct.quickconnect.to,8443,Possible GLKVM Domain (Unverified),91.226.145.67
ocenki.erudit23.ru,8050,Possible NanoKVM Domain (Unverified),193.242.148.251
office.prokrepezh38.ru,40100,Possible NanoKVM Domain (Unverified),90.188.225.217
oifdgok.crazedns.ru,443,Possible NanoKVM Domain (Unverified),185.160.137.198
oifdgok.crazedns.ru,80,Possible NanoKVM Domain (Unverified),185.160.137.198
omvoid.direct.quickconnect.to,53467,Possible GLKVM Domain (Unverified),95.31.158.66
openclaw.lofter414.com,9443,Possible PiKVM Domain (Unverified),113.200.17.29
osf6pzc62w92t43q.myfritz.net,443,Possible GLKVM Domain (Unverified),80.137.239.129
osf6pzc62w92t43q.myfritz.net,80,Possible GLKVM Domain (Unverified),80.137.239.129
outlaw.direct.quickconnect.to,999,Possible GLKVM Domain (Unverified),31.208.183.71
papra.hertz-eichenrode.net,443,Possible GLKVM Domain (Unverified),31.16.114.99
passbolt.basschouten.com,27893,Possible PiKVM Domain (Unverified),82.163.41.149
pavelrosario-zgchqqrgjp.dynamic-m.com,8443,Possible NanoKVM Domain (Unverified),100.1.72.71
pbs.babyfavorite.pp.ua,33035,Possible NanoKVM Domain (Unverified),46.8.28.150
pbx.clinic-msk-ah.ru,84,Possible NanoKVM Domain (Unverified),85.30.215.156
pcj8110.direct.quickconnect.to,8411,Possible NanoKVM Domain (Unverified),112.168.75.177
personal.transfix.su,33555,Possible NanoKVM Domain (Unverified),91.224.182.148
peticucicd.japaneast.cloudapp.azure.com,36011,Possible PiKVM Domain (Unverified),20.222.180.224
photos.rapadoiro.myonlineportal.net,9444,Possible NanoKVM Domain (Unverified),88.16.248.86
pikvm.cogo.ovh,8443,Possible PiKVM Domain (Unverified),82.65.3.131
pikvm.noctavigat.ru,8443,Possible NanoKVM Domain (Unverified),94.19.127.137
plane.build-sandbox.ru,88,Possible NanoKVM Domain (Unverified),62.192.240.24
plex.shfactory.co.kr,9445,Possible NanoKVM Domain (Unverified),121.124.204.34
pm.axlmotors.com,53535,Possible PiKVM Domain (Unverified),172.234.247.51
portainer-old-installs.nannal.com,61337,Possible NanoKVM Domain (Unverified),84.240.20.230
pppp.topwebgjw.tech,30080,Possible PiKVM Domain (Unverified),117.67.185.110
praclarush.i234.me,40130,Possible GLKVM Domain (Unverified),109.192.75.96
preview.sipeed.com,443,Possible NanoKVM Domain (Unverified),42.192.68.187
preview.sipeed.com,8443,Possible NanoKVM Domain (Unverified),42.192.68.187
procurestjo.duckdns.org,46853,Possible NanoKVM Domain (Unverified),82.65.113.226
procurestjo.duckdns.org,47561,Possible NanoKVM Domain (Unverified),82.65.113.226
